name,business_id,industry,toi_code,toi_description,nearest_station,distance_km,address,website,status,registered,lat,lon,found_website
Wakaru Oy,1925869-3,it,62200.0,Laitteistokonsultointi ja käyttö- ja hallintapalvelut,Pasila,0.08,"Kumpulantie, 00520",www.wakaru.fi,2,2004-12-22,60.1986848,24.933802,www.wakaru.fi
Domakers Finland Oy,2704278-8,marketing,74999.0,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Pasila,0.08,"Tenderinlenkki, 00520",,2,2015-09-01,60.1986848,24.933802,
WG Restaurants Oy,2705999-3,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Firdonkatu, 00520",,2,2015-09-09,60.1986848,24.933802,
Stadin Helmi Oy,2708698-3,retail,47699.0,Muu muualla luokittelematon kulttuuri- ja vapaa-ajan tuotteiden vähittäiskauppa,Pasila,0.08,"Radanrakentajantie, 00520",www.stadinhelmi.fi,2,2015-09-28,60.1986848,24.933802,www.stadinhelmi.fi
Xu Lei Oy,2709527-3,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Teollisuuskatu, 00520",,2,2015-10-16,60.1986848,24.933802,
Bofa Invest OY,2711453-4,other,82990.0,Muualla luokittelematon muu liike-elämän tukipalvelutoiminta,Pasila,0.08,"Teollisuuskatu, 00520",,2,2015-09-22,60.1986848,24.933802,
Daa Henkilövuokraus Oy,2712733-5,staffing,78200.0,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Pasila,0.08,"Pakkamestarinkatu, 00520",www.daafin.fi/,2,2015-10-07,60.1986848,24.933802,www.daafin.fi/
Second Order Oy,2715905-4,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Teollisuuskatu, 00520",http://www.secondorder.com,2,2015-10-08,60.1986848,24.933802,http://www.secondorder.com
EBM Logistiikka Oy,2717623-3,logistics,52100.0,Varastointi,Pasila,0.08,"Fredikanterassi, 00520",www.ebm.fi,2,2015-10-20,60.1986848,24.933802,www.ebm.fi
Tripla Mall Ky,2704252-6,real_estate,68110.0,Omien kiinteistöjen kauppa,Pasila,0.08,"Fredikanterassi, 00520",https://malloftripla.fi/,2,2015-08-25,60.1986848,24.933802,https://malloftripla.fi/
Cocopanda.fi Oy Ab,2718362-8,retail,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Pasila,0.08,"Firdonkatu, 00520",,2,2015-10-22,60.1986848,24.933802,
Terramonitor Oy,2722725-6,education,72100.0,Luonnontieteen ja tekniikan tutkimus ja kehittäminen,Pasila,0.08,"Opastinsilta, 00520",www.terramonitor.com,2,2015-11-10,60.1986848,24.933802,www.terramonitor.com
Asianajotoimisto Karhu Oy,2727280-7,other,69101.0,Asianajotoimistot,Pasila,0.08,"Jamsankatu, 00520",www.karhulaw.fi,2,2016-01-26,60.1986848,24.933802,www.karhulaw.fi
Areim Investment 3-3 Oy,2729643-8,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2015-12-09,60.1986848,24.933802,
Vietnomnom Oy,2732878-6,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Fredikanterassi, 00520",,2,2016-01-08,60.1986848,24.933802,
Paulson St oy,2734001-3,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Firdonkatu, 00520",,2,2016-01-05,60.1986848,24.933802,
Expert Kattohuolto OY,2734063-8,other,81100.0,Kiinteistönhoito,Pasila,0.08,"Veturitie, 00520",www.katonpuhdistus.fi,2,2016-02-08,60.1986848,24.933802,www.katonpuhdistus.fi
Brandfour Capital Oy,2736788-1,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Aleksis Kiven katu, 00520",,2,2016-01-20,60.1986848,24.933802,
Golden Grapes avoin yhtiö,2739842-6,wholesale,46340.0,Juomien tukkukauppa,Pasila,0.08,"Teollisuuskatu, 00520",,2,2016-02-05,60.1986848,24.933802,
TT Valmennus Oy,2721690-1,education,85599.0,Muu muualla luokittelematon monenlainen koulutustoiminta,Pasila,0.08,"Opastinsilta, 00520",www.ttvalmennus.fi,2,2015-12-01,60.1986848,24.933802,www.ttvalmennus.fi
Helsieni Oy,2741436-9,retail,47762.0,Muu kasvien ja lannoitteiden vähittäiskauppa,Pasila,0.08,"Veturitallinkuja, 00520",www.helsieni.fi,2,2016-02-09,60.1986848,24.933802,www.helsieni.fi
Facialis Oy,2704037-9,health,86220.0,"Lääkäriasemat, yksityislääkärit ja vastaavat erikoislääkäripalvelut",Pasila,0.08,"Hoyrypolku, 00520",,2,2015-08-19,60.1986848,24.933802,
TKPM pysäköintilaitos feeder Ky,2703374-2,finance,66300.0,Omaisuudenhoitotoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2015-10-22,60.1986848,24.933802,
Codelio Oy,2676281-2,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Asemapaallikonkatu, 00520",www.codelio.com,2,2015-02-20,60.1986848,24.933802,www.codelio.com
Kamome Project Oy,2680073-5,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Tenderinlenkki, 00520",,2,2015-03-23,60.1986848,24.933802,https://www.kamome.fi/
Snow Software Oy,2680811-2,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Firdonkatu, 00520",,2,2015-04-01,60.1986848,24.933802,
Elämän Vaikeuksiin Apua ja Valistusta Oy,2681695-6,it,58190.0,Muu kustannustoiminta pois lukien ohjelmistojen kustantaminen,Pasila,0.08,"Sahkottajankatu, 00520",,2,2015-04-13,60.1986848,24.933802,
Freesi Finland Oy,2682483-3,wholesale,46839.0,Saniteettivarusteiden ja muiden rakennustarvikkeiden erikoistunut tukkukauppa,Pasila,0.08,"Tenderinlenkki, 00520",,2,2015-03-26,60.1986848,24.933802,https://freesi.io/fi/freesi/
Lambda Lab Oy,2684168-4,wholesale,46140.0,"Koneiden, laitteiden, laivojen ja lentokoneiden agentuuritoiminta",Pasila,0.08,"Firdonkatu, 00520",www.lambdalab.com,2,2015-04-09,60.1986848,24.933802,www.lambdalab.com
Osuuskunta Vyyhti Helsinki,2685188-2,marketing,70220.0,Muu liikkeenjohdon konsultointi,Pasila,0.08,"Isonniitynkatu, 00520",,2,2015-04-17,60.1986848,24.933802,
Fubos Services FIN Oy,2685347-4,marketing,74300.0,Kääntäminen ja tulkkaus,Pasila,0.08,"Veturitie, 00520",,2,2015-04-15,60.1986848,24.933802,
TKPM pysäköintilaitos Ky,2703377-7,finance,66300.0,Omaisuudenhoitotoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2015-10-22,60.1986848,24.933802,
Palmako OY,2685564-8,retail,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Pasila,0.08,"Veturitie, 00520",www.palmako.fi,2,2015-06-29,60.1986848,24.933802,www.palmako.fi
EAI Residential I Ky,2690475-3,finance,64310.0,Rahastotoiminta,Pasila,0.08,"Ratamestarinkatu, 00520",www.oikeakoti.fi,2,2015-06-08,60.1986848,24.933802,www.oikeakoti.fi
Nitecheck Oy,2692324-1,it,62200.0,Laitteistokonsultointi ja käyttö- ja hallintapalvelut,Pasila,0.08,"Sahkottajankatu, 00520",,2,2015-05-27,60.1986848,24.933802,https://nitecheck.com/
"Bondora AS, Suomen sivuliike",2694508-8,finance,64920.0,Muu luotonanto,Pasila,0.08,"Veturitie, 00520",www.bondora.com,2,2015-07-20,60.1986848,24.933802,www.bondora.com
AMRAK Oy,2694676-9,construction,41000.0,Talonrakentaminen,Pasila,0.08,"Ratavartijankatu, 00520",www.amrak.fi,2,2015-06-15,60.1986848,24.933802,www.amrak.fi
Living and Working REC Finland 1 Oy,2696436-9,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2015-06-22,60.1986848,24.933802,
KOy Oulu Shopping Center,2697351-3,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2015-06-30,60.1986848,24.933802,
Tripla Mall GP Oy,2698062-5,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Fredikanterassi, 00520",www.malloftripla.fi,2,2015-07-03,60.1986848,24.933802,www.malloftripla.fi
EcoFiSo Oy,2702054-6,marketing,74999.0,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Pasila,0.08,"Isonniitynkatu, 00520",www.eco-filtering.com,2,2015-08-26,60.1986848,24.933802,www.eco-filtering.com
Custodian Partners Oy,2686222-3,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Fredikanterassi, 00520",,2,2015-05-20,60.1986848,24.933802,
Cheng Long Oy,2675789-6,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Fredikanterassi, 00520",,2,2015-03-13,60.1986848,24.933802,
Penhouse Finland Oy,2747997-1,wholesale,46491.0,Paperitarvikkeiden tukkukauppa,Pasila,0.08,"Karjalankatu, 00520",www.logollakiitos.fi,2,2016-03-18,60.1986848,24.933802,www.logollakiitos.fi
Hög Light & Sound Oy,2751608-2,other,90391.0,Taiteen ja kulttuurin live-tapahtumien järjestäminen,Pasila,0.08,"Karjalankatu, 00520",,2,2016-03-21,60.1986848,24.933802,
AVA perhepalvelut Oy,2796987-4,health,88999.0,Muualla luokittelematon muu monenlainen sosiaalihuollon avopalvelutoiminta,Pasila,0.08,"FREDIKANTERASSI, 00520",,2,2016-12-07,60.1986848,24.933802,https://www.avaperhepalvelut.fi/
Forenom Group Oy,2798053-9,other,69201.0,"Laskentatoimi, kirjanpito ja veroneuvonta",Pasila,0.08,"Firdonkatu, 00520",,2,2016-12-02,60.1986848,24.933802,https://www.forenom.com/
Forenom Holding Oy,2798054-7,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Firdonkatu, 00520",,2,2016-12-02,60.1986848,24.933802,https://www.forenom.com/
REF EP Finland 2 Oy,2798259-3,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2016-12-05,60.1986848,24.933802,
Finnish Music Hall of Fame Oy,2798495-1,other,91210.0,Museoihin ja kokoelmiin liittyvä toiminta,Pasila,0.08,"Fredikanterassi, 00520",www.finnishmusichalloffame.fi,2,2016-12-22,60.1986848,24.933802,www.finnishmusichalloffame.fi
LK Energiaratkaisut Oy,2804966-6,engineering,71124.0,LVI-tekninen suunnittelu,Pasila,0.08,"Karjalankatu, 00520",www.lkenergiaratkaisut.fi,2,2017-01-16,60.1986848,24.933802,www.lkenergiaratkaisut.fi
OnePlus Finland Oy,2806742-6,it,61100.0,Kiinteän puhelinverkon ja langattoman verkon hallinta ja palvelut sekä satelliittiviestintä,Pasila,0.08,"Firdonkatu, 00520",,2,2017-01-20,60.1986848,24.933802,https://www.oneplus.com/by/oneplus-health/privacy-policy
Maakuntien tilakeskus Oy,2809806-2,health,87999.0,Muualla luokittelematon muu monenlainen sosiaalihuollon asumis- laitospalvelutoiminta,Pasila,0.08,"Firdonkatu, 00520",www.maakuntientilakeskus.fi,2,2017-01-30,60.1986848,24.933802,www.maakuntientilakeskus.fi
Armeer Ehitus OÜ Suomen sivuliike,2794920-8,construction,41000.0,Talonrakentaminen,Pasila,0.08,"Kumpulantie, 00520",,2,2019-03-13,60.1986848,24.933802,
Quicksave Interactive Oy,2813450-2,it,58210.0,Videopelien kustantaminen,Pasila,0.08,"Opastinsilta, 00520",www.quicksave.fi,2,2017-02-14,60.1986848,24.933802,www.quicksave.fi
HSOY ry,2816608-8,other,94999.0,Muualla luokittelematon muu monenlainen järjestötoiminta,Pasila,0.08,"Ratapihantie, 00520",,2,,60.1986848,24.933802,
Bytecraft Oy,2818385-7,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Opastinsilta, 00520",www.bytecraft.fi,2,2017-02-28,60.1986848,24.933802,www.bytecraft.fi
Laser Cut Studio Oy,2821386-8,engineering,71129.0,Muu tekninen palvelu,Pasila,0.08,"Kuortaneenkatu, 00520",www.lasercutstudio.com,2,2017-04-01,60.1986848,24.933802,www.lasercutstudio.com
AUTOREX OY,2822459-1,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Sahkottajankatu, 00520",,2,2017-04-03,60.1986848,24.933802,
CT Huolto Oy,2823047-3,other,81100.0,Kiinteistönhoito,Pasila,0.08,"Asemamiehenkatu, 00520",www.cthuolto.com,2,2017-03-22,60.1986848,24.933802,www.cthuolto.com
Villimarjat-kuoro ry,2827470-8,other,90209.0,Muu esittävä taide,Pasila,0.08,"Aleksis Kiven katu, 00520",villimarjat.fi,2,,60.1986848,24.933802,villimarjat.fi
Norma & John Avoin yhtiö,2829267-4,other,90209.0,Muu esittävä taide,Pasila,0.08,"Teollisuuskatu, 00520",,2,2017-05-05,60.1986848,24.933802,
Kinland V A3 KOy,2829399-2,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2017-05-29,60.1986848,24.933802,
OMN Consulting Oy,2814275-6,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Fredikanterassi, 00520",www.omnconsulting.com,2,2017-02-27,60.1986848,24.933802,www.omnconsulting.com
Ponder Nobs Oy,2750122-7,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Asemapaallikonkatu, 00520",www.nobs.fi,2,2016-03-23,60.1986848,24.933802,www.nobs.fi
Nevel Pori Oy,2791113-8,manufacturing,35210.0,Kaasun tuotanto,Pasila,0.08,"Veturitie, 00520",,2,2016-11-01,60.1986848,24.933802,https://nevel.com/story/nevel-clarifies-its-corporate-structure/
St1 Finance Oy,2789887-7,finance,64210.0,Holdingyhtiöiden toiminta,Pasila,0.08,"Firdonkatu, 00520",www.st1finance.fi,2,2016-10-26,60.1986848,24.933802,www.st1finance.fi
Bste Skateboards Osk,2752481-6,retail,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,0.08,"karjalankatu, 00520",,2,2016-03-31,60.1986848,24.933802,
Metsähallitus Metsätalous Oy,2752751-5,other,2400.0,Metsätaloutta palveleva toiminta,Pasila,0.08,"Opastinsilta, 00520",,2,2016-03-23,60.1986848,24.933802,https://www.metsa.fi/
Hefe Group Oy,2753306-9,other,96910.0,Kotitalouspalvelut,Pasila,0.08,"Opastinsilta, 00520",www.gajo.fi,2,2016-03-23,60.1986848,24.933802,www.gajo.fi
OIKIO Oy,2754417-1,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Firdonkatu, 00520",www.oikio.fi,2,2016-04-11,60.1986848,24.933802,www.oikio.fi
Upsoft Oy,2756679-2,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Fredikanterassi, 00520",www.upsoft.fi,2,2016-04-27,60.1986848,24.933802,www.upsoft.fi
Liq Group Oy,2756978-2,marketing,70100.0,Pääkonttorien toiminta,Pasila,0.08,"Kuortaneenkatu, 00520",,2,2016-05-25,60.1986848,24.933802,https://www.liquidwind.com/news/liquid-wind-partners-with-turun-seudun-energiantuotanto-oy-for-the-establishment-of-an-efuel-facility-in-finland
Global International Services Consulting Oy,2758282-1,other,79900.0,Muu varauspalvelutoiminta ja siihen liittyvä toiminta,Pasila,0.08,"Opastinsilta, 00520",,2,2016-04-27,60.1986848,24.933802,
Scener Oy,2762347-8,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Veturitie, 00520",,2,2016-06-14,60.1986848,24.933802,https://www.scener.eu/?lang=fi
Aivotaidot Oy,2790226-6,education,85599.0,Muu muualla luokittelematon monenlainen koulutustoiminta,Pasila,0.08,"Kumpulantie, 00520",www.aivotaidot.fi,2,2016-11-08,60.1986848,24.933802,www.aivotaidot.fi
Koy Valimotie 1,2763493-5,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2016-06-01,60.1986848,24.933802,
Pediana Oü Suomen sivuliike,2768242-7,other,82990.0,Muualla luokittelematon muu liike-elämän tukipalvelutoiminta,Pasila,0.08,"Karjalankatu, 00520",www.pediana.fi,2,2016-07-04,60.1986848,24.933802,www.pediana.fi
Woolenberry Oy,2770334-7,retail,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Pasila,0.08,"Teollisuuskatu, 00520",woolenberry.com,2,2016-07-15,60.1986848,24.933802,woolenberry.com
International Family Investments Oy,2777343-3,finance,64210.0,Holdingyhtiöiden toiminta,Pasila,0.08,"Veturitie, 00520",,2,2016-09-30,60.1986848,24.933802,
Filterit Oy,2781538-1,wholesale,46649.0,Muu muualla luokittelematon koneiden ja laitteiden tukkukauppa,Pasila,0.08,"Karjalankatu, 00520",,2,2016-12-31,60.1986848,24.933802,https://filterit.fi/
Global Payroll Services Ltd,2785495-4,staffing,78200.0,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Pasila,0.08,"Veturitie, 00520",,2,,60.1986848,24.933802,
Suomen KT Kustannus Oy,2786077-2,other,77400.0,Henkisen omaisuuden ja vastaavien tuotteiden leasing pois lukien tekijänoikeuden suojaamat teokset,Pasila,0.08,"Sahkottajankatu, 00520",,2,2016-11-02,60.1986848,24.933802,
Origa Care Properties Oy,2788155-7,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2016-10-17,60.1986848,24.933802,
Sadanta Oy,2789328-3,health,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,0.08,"Teollisuuskatu, 00520",,2,2016-10-31,60.1986848,24.933802,
Mothers in Business MiB ry,2764715-4,other,94999.0,Muualla luokittelematon muu monenlainen järjestötoiminta,Pasila,0.08,"Ratavartijankatu, 00520",http://www.mothersinbusiness.fi/,2,,60.1986848,24.933802,http://www.mothersinbusiness.fi/
Joyhub Oy,2675237-4,retail,47632.0,Polkupyörien ja muiden urheiluvälineiden vähittäiskauppa,Pasila,0.08,"Firdonkatu, 00520",intersport.fi,2,2015-02-24,60.1986848,24.933802,intersport.fi
Thai Siam Avoin Yhtiö,2671269-8,hospitality,56112.0,Pikaruokaravintolat ja ruokakioskit,Pasila,0.08,"Ratamestarinkatu, 00520",,2,2015-02-11,60.1986848,24.933802,
Suomen Bioproteiini Oy,2670776-8,manufacturing,10910.0,Kotieläinten rehujen valmistus,Pasila,0.08,"Veturitallinkuja, 00520",www.bioproteiini.fi,2,2015-02-04,60.1986848,24.933802,www.bioproteiini.fi
Vilvali avoin yhtiö,2488215-9,other,81210.0,Kiinteistöjen siivous,Pasila,0.08,"Aleksis Kiven katu, 00520",,2,2012-07-27,60.1986848,24.933802,
SUOMI BROADCAST NETWORKS HOLDINGS OY,2488968-4,marketing,70220.0,Muu liikkeenjohdon konsultointi,Pasila,0.08,"Jamsankatu, 00520",,2,2012-07-31,60.1986848,24.933802,
Digita Oy,2488970-5,it,61200.0,Langattoman verkon hallinta ja palvelut,Pasila,0.08,"Jamsankatu, 00520",www.digita.fi,2,2012-07-31,60.1986848,24.933802,www.digita.fi
Lion's Line Oy,2489702-7,education,85593.0,Kielikoulut ja -opistot,Pasila,0.08,"Liukulaakerinkuja, 00520",,2,2012-07-30,60.1986848,24.933802,
Innovaniac Oy,2490282-6,it,63100.0,"Tietojenkäsittelyinfrastruktuuri, tietojenkäsittely, palvelintilan vuokraus ja niihin liittyvät palvelut",Pasila,0.08,"Fredikanterassi, 00520",www.innovaniac.com,2,2012-08-27,60.1986848,24.933802,www.innovaniac.com
RockHimo's Oy,2490502-3,hospitality,55202.0,Lyhytaikainen majoitus huoneistoissa ja huoneissa,Pasila,0.08,"Opastinsilta, 00520",,2,2012-08-08,60.1986848,24.933802,https://www.rockhimos.com/
NIDA Logistics Oy,2495850-4,logistics,52250.0,Logistiikkapalvelut,Pasila,0.08,"Kumpulantie, 00520",,2,2012-09-25,60.1986848,24.933802,
Helku Oy,2502976-6,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Asemamiehenkatu, 00520",,2,2012-10-17,60.1986848,24.933802,
Scandinaval Group Oy,2486029-1,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Jamsankatu, 00520",,2,2012-07-02,60.1986848,24.933802,
Oy WM Label Ltd,2505826-8,wholesale,46421.0,Vaatteiden tukkukauppa,Pasila,0.08,"Karjalankatu, 00520",www.dropinmarket.com,2,2012-10-29,60.1986848,24.933802,www.dropinmarket.com
Kinland V A2 KOy,2515442-8,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2012-12-28,60.1986848,24.933802,https://kinland.no/
KA-Consulting Oy,2517494-7,finance,66120.0,Arvopaperien ja raaka-ainesopimusten välittäminen,Pasila,0.08,"Teollisuuskatu, 00520",,2,2013-06-01,60.1986848,24.933802,
SF-Raudoitus Oy,2518404-5,staffing,78200.0,Työvoiman vuokraus ja muu henkilöstön hankintapalvelutoiminta,Pasila,0.08,"Jamsankatu, 00520",,2,2013-01-08,60.1986848,24.933802,
Fonum Oy Ab,2518463-5,retail,47400.0,Tieto- ja viestintäteknisten laitteiden vähittäiskauppa,Pasila,0.08,"Ratavartijankatu, 00520",www.fonum.fi,2,2013-01-15,60.1986848,24.933802,www.fonum.fi
Horisontti Media Oy,2523949-9,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Karjalankatu, 00520",www.horisonttimedia.fi,2,2013-02-18,60.1986848,24.933802,www.horisonttimedia.fi
Kuninkaanportin Ratsumestarinkatu 6 Ky,2532038-5,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2013-02-26,60.1986848,24.933802,
Nordlane Oy,2533221-2,it,63100.0,"Tietojenkäsittelyinfrastruktuuri, tietojenkäsittely, palvelintilan vuokraus ja niihin liittyvät palvelut",Pasila,0.08,"Karjalankatu, 00520",https://nordlane.com,2,2013-04-16,60.1986848,24.933802,https://nordlane.com
Danata Oy,2538644-8,retail,47240.0,Leipomotuotteiden ja makeisten vähittäiskauppa,Pasila,0.08,"Pakkamestarinkatu, 00520",,2,2013-03-27,60.1986848,24.933802,
Korjaussuunnittelu Kämppä Oy,2509209-5,engineering,71126.0,Muu rakennustekninen palvelu,Pasila,0.08,"Porvoonkatu, 00520",,2,2012-11-20,60.1986848,24.933802,
Suomen Telelaskutus Oy,2541314-3,it,61100.0,Kiinteän puhelinverkon ja langattoman verkon hallinta ja palvelut sekä satelliittiviestintä,Pasila,0.08,"Kumpulantie, 00520",,2,2013-07-31,60.1986848,24.933802,
1Office Finland Oy,2486002-1,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Veturitie, 00520",www.1office.fi,2,2012-08-17,60.1986848,24.933802,www.1office.fi
AH Analyst Oy,2475393-9,other,69201.0,"Laskentatoimi, kirjanpito ja veroneuvonta",Pasila,0.08,"Opastinsilta, 00520",www.ah-analyst.fi,2,2012-08-29,60.1986848,24.933802,www.ah-analyst.fi
Fleet Logistics Finland Oy,2415589-1,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Kuortaneenkatu, 00520",,2,2011-06-28,60.1986848,24.933802,
Kinland V B5 KOy,2417028-2,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2011-07-07,60.1986848,24.933802,
Woodly Oy,2417770-8,marketing,74999.0,"Muualla luokittelematon kaikki muu monenlainen ammatillinen, tieteellinen ja tekninen toiminta",Pasila,0.08,"Firdonkatu, 00520",www.woodly.com,2,2011-09-19,60.1986848,24.933802,www.woodly.com
Haaga-Helia Global Education Services Oy,2419662-6,education,85400.0,Korkea-asteen koulutus yliopistoissa ja ammattikorkeakouluissa,Pasila,0.08,"Ratapihantie, 00520",,2,2011-08-16,60.1986848,24.933802,https://www.haaga-helia.fi/en/global-education-services
Giggifer Oy,2424717-1,marketing,74991.0,Kulttuurialan ohjelmatoimistojen toiminta,Pasila,0.08,"Aleksis Kiven katu, 00520",,2,2011-09-14,60.1986848,24.933802,
Punos Mobile Oy,2430397-0,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Kumpulantie, 00520",https://www.punosmobile.com,2,2011-10-07,60.1986848,24.933802,https://www.punosmobile.com
Äänimiehet Helsinki Oy,2430474-6,other,90391.0,Taiteen ja kulttuurin live-tapahtumien järjestäminen,Pasila,0.08,"Opastinsilta, 00520",www.aanimiehet.fi,2,2011-10-03,60.1986848,24.933802,www.aanimiehet.fi
Voxsana Oy,2430848-0,health,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,0.08,"Kumpulantie, 00520",,2,2011-10-28,60.1986848,24.933802,https://www.voxsana.de/
Uudenmaan Perussäätö Oy,2475935-3,engineering,71124.0,LVI-tekninen suunnittelu,Pasila,0.08,"Teollisuuskatu, 00520",www.perussaato.fi,2,2012-05-18,60.1986848,24.933802,www.perussaato.fi
Vasiten Oy,2432802-7,marketing,73300.0,Suhdetoiminta ja viestintä,Pasila,0.08,"Pakkamestarinkatu, 00520",,2,2011-10-18,60.1986848,24.933802,
Tapiola Paikoitus Oy,2437862-2,logistics,52212.0,Maksullinen pysäköinti,Pasila,0.08,"Karjalankatu, 00520",,2,2011-11-04,60.1986848,24.933802,https://www.tapiolapaikoitus.fi/
Ahako Oy,2438058-9,wholesale,46470.0,"Huonekalujen, toimisto- ja myymäläkalusteiden, mattojen ja valaisimien tukkukauppa",Pasila,0.08,"Aleksis Kiven katu, 00520",www.ahako.fi,2,2011-11-08,60.1986848,24.933802,www.ahako.fi
Rela-hierojat oy,2439106-9,health,86990.0,Muualla luokittelematon muu terveyspalvelutoiminta,Pasila,0.08,"Kuortaneenkatu, 00520",www.relahierojat.fi,2,2011-12-02,60.1986848,24.933802,www.relahierojat.fi
AT Beauty Oy,2441029-0,retail,47782.0,Muu muualla luokittelematon uusien tavaroiden vähittäiskauppa,Pasila,0.08,"Karjalankatu, 00520",,2,2012-01-13,60.1986848,24.933802,
Soma Films avoin yhtiö,2442907-1,other,59110.0,"Elokuvien, videoiden ja televisio-ohjelmien tuotanto",Pasila,0.08,"Ratamestarinkatu, 00520",www.somafilm.com,2,2011-12-02,60.1986848,24.933802,www.somafilm.com
Event360 Oy,2444799-0,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Karjalankatu, 00520",,2,2011-12-21,60.1986848,24.933802,
Varial Films Oy,2452530-3,other,59110.0,"Elokuvien, videoiden ja televisio-ohjelmien tuotanto",Pasila,0.08,"Aleksis Kiven katu, 00520",www.varialfilms.com,2,2012-01-27,60.1986848,24.933802,www.varialfilms.com
Helsingin Korkeavuorenkatu 32-34 Oy,2473839-2,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2012-05-04,60.1986848,24.933802,
Monday Digital Oy,2435962-4,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Sahanmaenkuja, 00520",www.monday.fi,2,2011-11-01,60.1986848,24.933802,www.monday.fi
KOy Villa Bergholmen,2541319-4,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Kumpulantie, 00520",,2,2013-07-31,60.1986848,24.933802,
